"date","uid","Confirmed","Recovered","Deaths","total_cases","new_cases","total_deaths","new_deaths","total_cases_per_million","new_cases_per_million","total_deaths_per_million","new_deaths_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_units","stringency_index","location"
2020-01-23,380,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",2.78,"Italy"
2020-01-23,383,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kosovo"
2020-01-23,384,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cote d'Ivoire"
2020-01-23,388,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jamaica"
2020-01-23,392,2,0,0,1,0,0,0,0.008,0,0,0,NA,NA,NA,NA,NA,NA,"",2.78,"Japan"
2020-01-23,398,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kazakhstan"
2020-01-23,400,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jordan"
2020-01-23,404,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kenya"
2020-01-23,410,1,0,0,1,0,0,0,0.02,0,0,0,NA,NA,NA,NA,NA,NA,"people tested",0,"Korea, South"
2020-01-23,414,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",5.56,"Kuwait"
2020-01-23,417,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kyrgyzstan"
2020-01-23,418,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Laos"
2020-01-23,422,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",0,"Lebanon"
2020-01-23,426,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lesotho"
2020-01-23,428,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Latvia"
2020-01-23,430,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Liberia"
2020-01-23,434,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Libya"
2020-01-23,438,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Liechtenstein"
2020-01-23,440,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",0,"Lithuania"
2020-01-23,442,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",0,"Luxembourg"
2020-01-23,450,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Madagascar"
2020-01-23,454,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Malawi"
2020-01-23,458,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",11.11,"Malaysia"
2020-01-23,462,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maldives"
2020-01-23,466,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mali"
2020-01-23,470,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Malta"
2020-01-23,474,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Martinique, France"
2020-01-23,478,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mauritania"
2020-01-23,480,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mauritius"
2020-01-23,484,0,0,0,0,0,0,0,0,0,0,0,726,46,0.006,0,43,0,"people tested",0,"Mexico"
2020-01-23,492,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"Monaco"
2020-01-23,496,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mongolia"
